Fill 1: Scint. Batch,Fill 1: Tanker ID,Fill 1: Tech 1,Fill 1: Tech 2,Fill 1: Mach ID,Fill 1: Module Position,Fill 1: Module ID,Fill 1: Amount from 1st Tanker (gal),Fill 1: Start Time,Fill 1: End Time,Fill 1: Fill Time,Fill 1: Comments,Fill 1: 2nd Tanker Batch,Fill 1: 2nd Tanker,Fill 1: Amount from 2nd Tanker (gal),Comments,Fill 1: 3rd Tanker Batch,Fill 1: 3rd Tanker,Fill 1: Amount from 3rd Tanker (gal),Comments,Fill 1: Total(gal),Fill 2: Scint. Batch,Fill 2: Tanker ID,Fill 2: Tech 1,Fill 2: Tech 2,Fill 2: Mach ID,Fill 2: Module Position,Fill 2: Module ID,Fill 2: Amount from 1st Tanker (gal),Fill 2: Start Time,Fill 2: End Time,Fill 2: Fill Time,Dummy 2,Fill 2: Comments,Fill 2: 2nd Tanker Batch,Fill 2: 2nd Tanker,Fill 2: Amount from 2nd Tanker (gal),Fill 2: Total (gal),Fill 3: Scint. Batch,Fill 3: Tanker ID,Fill 3: Tech 1,Fill 3: Tech 2,Fill 3: Mach ID,Fill 3: Module Position,Fill 3: Module ID,Fill 3: Amout from 1st Tanker (gal),Fill 3: Start Time,Fill 3: End Time,Fill 3: Fill Time,Dummy 3,Fill 3: Comments,Fill 3: 2nd Tanker Batch,Fill 3: 2nd Tanker,Fill 3: Amount from 2nd Tanker (gal),Fill 3: Total(gal),Fill 4: Scint. Batch,Fill 4: Tanker ID,Fill 4: Tech 1,Fill 4: Tech 2,Fill 4: Mach ID,Fill 4: Module Position,Fill 4: Module ID,Fill 4: Amount from 1st Tanker (gal),Fill 4: Start Time,Fill 4: End Time,Fill 4: Fill Time,Dummy 4,Fill 4: Comments,Fill 4: 2nd Tanker Batch,Fill 4: 2nd Tanker,Fill 4: Amount from 2nd Tanker (gal),Fill 4: Total (gal),,No. Modules,Module ID,Module Position,Total Fill
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T59-B10,WT-165:S052,larry,don,2,BLK:22 PLN:01 POS:00,MFV 01851,254.6,1/2/2014 10:07,1/2/2014 12:39,2:31:22,,,,,,,,,,254.6,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,1,MFV 01851,BLK:22 PLN:01 POS:00,254.60
T59-B10,WT-165:S052,larry,don,3,BLK:22 PLN:01 POS:02,MFV 04549,253.8,1/2/2014 10:07,1/2/2014 12:44,2:36:43,,,,,,,,,,253.8,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,2,MFV 04549,BLK:22 PLN:01 POS:02,253.80
T59-B10,WT-165:S052,larry,don,4,BLK:22 PLN:01 POS:04,MFV 01106,250.5,1/2/2014 10:08,1/2/2014 12:43,2:34:17,,,,,,,,,,250.5,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,3,MFV 01106,BLK:22 PLN:01 POS:04,250.50
T59-B10,WT-165:S052,larry,don,6,BLK:22 PLN:01 POS:06,MFV 03517,251.3,1/2/2014 10:09,1/2/2014 12:46,2:37:04,,,,,,,,,,251.3,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,4,MFV 03517,BLK:22 PLN:01 POS:06,251.30
T59-B10,WT-165:S052,larry,don,7,BLK:22 PLN:01 POS:08,MFV 03055,251.7,1/2/2014 10:09,1/2/2014 12:36,2:26:38,,,,,,,,,,251.7,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,5,MFV 03055,BLK:22 PLN:01 POS:08,251.70
T59-B10,WT-165:S052,larry,don,8,BLK:22 PLN:01 POS:10,MFV 03056,249.1,1/2/2014 10:10,1/2/2014 12:57,2:46:52,,,,,,,,,,249.1,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,6,MFV 03056,BLK:22 PLN:01 POS:10,249.10
T59-B10,WT-165:S052,larry,don,2,BLK:22 PLN:01 POS:01,MFV 01796,250.8,1/2/2014 12:39,1/2/2014 14:59,2:19:31,,,,,,,,,,250.8,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,7,MFV 01796,BLK:22 PLN:01 POS:01,250.80
T59-B10,WT-165:S052,larry,don,3,BLK:22 PLN:01 POS:03,MFV 09957,246,1/2/2014 12:45,1/2/2014 15:05,2:19:25,,,,,,,,,,246,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,8,MFV 09957,BLK:22 PLN:01 POS:03,246.00
T59-B10,WT-165:S052,larry,don,4,BLK:22 PLN:01 POS:05,MFV 03742,248.6,1/2/2014 12:43,1/2/2014 15:03,2:19:48,,,,,,,,,,248.6,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,9,MFV 03742,BLK:22 PLN:01 POS:05,248.60
T59-B10,WT-165:S052,larry,don,6,BLK:22 PLN:01 POS:07,MFV 03756,252.4,1/2/2014 12:48,1/2/2014 15:12,2:24:34,,,,,,,,,,252.4,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,10,MFV 03756,BLK:22 PLN:01 POS:07,252.40
T59-B10,WT-165:S052,larry,don,7,BLK:22 PLN:01 POS:09,MFV 03634,250.3,1/2/2014 12:37,1/2/2014 14:53,2:15:57,,,,,,,,,,250.3,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,11,MFV 03634,BLK:22 PLN:01 POS:09,250.30
T59-B10,WT-165:S052,larry,don,8,BLK:22 PLN:01 POS:11,MFV 09967,247.3,1/2/2014 12:57,1/2/2014 15:14,2:16:57,,,,,,,,,,247.3,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,12,MFV 09967,BLK:22 PLN:01 POS:11,247.30
T59-B10,WT-165:S052,larry,don,2,BLK:22 PLN:03 POS:00,MFV 00081,32.9,1/2/2014 15:00,1/3/2014 13:49,23:17:14,swap,T59-B10,WT-164:S051,219.9,"6hr. Delay, air was shut off to safety bypass relief",,,,,252.8,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,13,MFV 00081,BLK:22 PLN:03 POS:00,252.80
T59-B10,WT-165:S052,larry,don,3,BLK:22 PLN:03 POS:02,MFV 03406,21.9,1/2/2014 15:05,1/3/2014 14:15,23:09:39,swap,T59-B10,WT-164:S051,228.9,"6hr. Delay, air was shut off to safety bypass relief",,,,,250.8,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,14,MFV 03406,BLK:22 PLN:03 POS:02,250.80
T59-B10,WT-165:S052,larry,don,4,BLK:22 PLN:03 POS:04,MFV 03397,26.2,1/2/2014 15:04,1/3/2014 13:51,23:14:55,swap,T59-B10,WT-164:S051,223.6,"6hr. Delay, air was shut off to safety bypass relief",,,,,249.8,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,15,MFV 03397,BLK:22 PLN:03 POS:04,249.80
T59-B10,WT-165:S052,larry,don,6,BLK:22 PLN:03 POS:06,MFV 01098,24.7,1/2/2014 15:13,1/3/2014 13:51,23:06:17,swap,T59-B10,WT-164:S051,226,"6hr. Delay, air was shut off to safety bypass relief",,,,,250.7,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,16,MFV 01098,BLK:22 PLN:03 POS:06,250.70
T59-B10,WT-165:S052,larry,don,7,BLK:22 PLN:03 POS:08,MFV 03141,46.4,1/2/2014 14:53,1/3/2014 13:52,23:26:29,swap,T59-B10,WT-164:S051,202,"6hr. Delay, air was shut off to safety bypass relief",,,,,248.4,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,17,MFV 03141,BLK:22 PLN:03 POS:08,248.40
T59-B10,WT-165:S052,larry,don,8,BLK:22 PLN:03 POS:10,MFV 03388,20.8,1/2/2014 15:15,1/3/2014 14:15,23:00:11,swap,T59-B10,WT-164:S051,229.8,"6hr. Delay, air was shut off to safety bypass relief",,,,,250.6,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,18,MFV 03388,BLK:22 PLN:03 POS:10,250.60
T59-B10,WT-164:S051,larry,don,2,BLK:22 PLN:03 POS:01,MFV 01721,252.7,1/3/2014 13:50,1/3/2014 16:05,2:15:38,,,,,,,,,,252.7,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,19,MFV 01721,BLK:22 PLN:03 POS:01,252.70
T59-B10,WT-164:S051,larry,don,3,BLK:22 PLN:03 POS:03,MFV 02272,251.9,1/3/2014 14:14,1/3/2014 16:34,2:19:34,,,,,,,,,,251.9,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,20,MFV 02272,BLK:22 PLN:03 POS:03,251.90
T59-B10,WT-164:S051,larry,don,4,BLK:22 PLN:03 POS:05,MFV 01091,251.8,1/3/2014 13:51,1/3/2014 16:07,2:16:00,,,,,,,,,,251.8,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,21,MFV 01091,BLK:22 PLN:03 POS:05,251.80
T59-B10,WT-164:S051,larry,don,6,BLK:22 PLN:03 POS:07,MFV 01093,251.4,1/3/2014 13:52,1/3/2014 16:10,2:17:49,,,,,,,,,,251.4,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,22,MFV 01093,BLK:22 PLN:03 POS:07,251.40
T59-B10,WT-164:S051,larry,don,7,BLK:22 PLN:03 POS:09,MFV 03344,250.3,1/3/2014 13:54,1/3/2014 16:04,2:10:17,,,,,,,,,,250.3,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,23,MFV 03344,BLK:22 PLN:03 POS:09,250.30
T59-B10,WT-164:S051,larry,don,8,BLK:22 PLN:03 POS:11,MFV 09918,251.4,1/3/2014 14:14,1/3/2014 16:32,2:17:43,,,,,,,,,,251.4,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,24,MFV 09918,BLK:22 PLN:03 POS:11,251.40
T59-B10,WT-164:S051,larry,don,2,BLK:22 PLN:05 POS:00,MFV 09930,82.7,1/3/2014 16:06,1/6/2014 20:01,75:54:44,swap,T59-B10,WT-168:S027,29.3,started to fill at 6:45,T59-B10,WT-169:S051,137.3,,249.3,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,25,MFV 09930,BLK:22 PLN:05 POS:00,249.30
T59-B10,WT-164:S051,larry,don,3,BLK:22 PLN:05 POS:02,MFV 09901,29.1,1/3/2014 16:34,1/6/2014 20:29,75:54:40,swap,T59-B10,WT-168:S027,30.2,,T59-B10,WT-169:S051,190.7,,250,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,26,MFV 09901,BLK:22 PLN:05 POS:02,250.00
T59-B10,WT-164:S051,larry,don,4,BLK:22 PLN:05 POS:04,MFV 09893,76.4,1/3/2014 16:08,1/6/2014 20:06,75:58:51,swap,T59-B10,WT-168:S027,28.5,,T59-B10,WT-169:S051,145.6,,250.5,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,27,MFV 09893,BLK:22 PLN:05 POS:04,250.50
T59-B10,WT-164:S051,larry,don,6,BLK:22 PLN:05 POS:06,MFV 00547,71,1/3/2014 16:10,1/6/2014 20:11,76:00:37,swap,T59-B10,WT-168:S027,25.9,,T59-B10,WT-169:S051,153.6,,250.5,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,28,MFV 00547,BLK:22 PLN:05 POS:06,250.50
T59-B10,WT-164:S051,larry,don,7,BLK:22 PLN:05 POS:08,MFV 00530,86.5,1/3/2014 16:05,1/6/2014 19:57,75:52:54,swap,T59-B10,WT-168:S027,28.4,,T59-B10,WT-169:S051,136.9,,251.8,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,29,MFV 00530,BLK:22 PLN:05 POS:08,251.80
T59-B10,WT-164:S051,larry,don,8,BLK:22 PLN:05 POS:10,MFV 09896,32.4,1/3/2014 16:32,1/6/2014 20:27,75:55:06,swap,T59-B10,WT-168:S027,31.1,,T59-B10,WT-169:S051,187,,250.5,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,30,MFV 09896,BLK:22 PLN:05 POS:10,250.50
T59-B01,WT-169:S051,galvin,jim,2,BLK:22 PLN:05 POS:01,MFV 09907,248.7,1/6/2014 20:01,1/6/2014 22:16,2:14:36,,,,,,,,,,248.7,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,31,MFV 09907,BLK:22 PLN:05 POS:01,248.70
T59-B01,WT-169:S051,galvin,jim,3,BLK:22 PLN:05 POS:03,MFV 09775,248.5,1/6/2014 20:29,1/6/2014 22:45,2:16:19,,,,,,,,,,248.5,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,32,MFV 09775,BLK:22 PLN:05 POS:03,248.50
T59-B01,WT-169:S051,galvin,jim,4,BLK:22 PLN:05 POS:05,MFV 00772,252.1,1/6/2014 20:07,1/6/2014 23:12,3:05:29,,,,,,,,,,252.1,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,33,MFV 00772,BLK:22 PLN:05 POS:05,252.10
T59-B01,WT-169:S051,galvin,jim,6,BLK:22 PLN:05 POS:07,MFV 00543,252.2,1/6/2014 20:11,1/6/2014 22:30,2:18:44,,,,,,,,,,252.2,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,34,MFV 00543,BLK:22 PLN:05 POS:07,252.20
T59-B01,WT-169:S051,galvin,jim,7,BLK:22 PLN:05 POS:09,MFV 00737,252.7,1/6/2014 19:58,1/6/2014 22:07,2:09:06,,,,,,,,,,252.7,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,35,MFV 00737,BLK:22 PLN:05 POS:09,252.70
T59-B01,WT-169:S051,galvin,jim,8,BLK:22 PLN:05 POS:11,MFV 09773,248.5,1/6/2014 20:28,1/6/2014 22:41,2:13:41,,,,,,,,,,248.5,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,36,MFV 09773,BLK:22 PLN:05 POS:11,248.50
T59-B01,WT-169:S051,galvin,jim,2,BLK:22 PLN:07 POS:00,MFV 01094,250.1,1/6/2014 22:16,1/7/2014 0:35,2:19:28,,,,,,,,,,250.1,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,37,MFV 01094,BLK:22 PLN:07 POS:00,250.10
T59-B01,WT-169:S051,galvin,jim,3,BLK:22 PLN:07 POS:02,MFV 09928,249,1/6/2014 22:46,1/7/2014 1:04,2:18:37,,,,,,,,,,249,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,38,MFV 09928,BLK:22 PLN:07 POS:02,249.00
T59-B01,WT-169:S051,galvin,jim,4,BLK:22 PLN:07 POS:04,MFV 09772,250.2,1/6/2014 23:13,1/7/2014 1:33,2:20:23,,,,,,,,,,250.2,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,39,MFV 09772,BLK:22 PLN:07 POS:04,250.20
T59-B01,WT-169:S051,galvin,jim,6,BLK:22 PLN:07 POS:06,MFV 03044,253.6,1/6/2014 22:30,1/7/2014 0:52,2:22:15,,,,,,,,,,253.6,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,40,MFV 03044,BLK:22 PLN:07 POS:06,253.60
T59-B01,WT-169:S051,galvin,jim,7,BLK:22 PLN:07 POS:08,MFV 03382,253,1/6/2014 22:07,1/7/2014 0:23,2:15:21,,,,,,,,,,253,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,41,MFV 03382,BLK:22 PLN:07 POS:08,253.00
T59-B01,WT-169:S051,galvin,jim,8,BLK:22 PLN:07 POS:10,MFV 09933,250.9,1/6/2014 22:42,1/7/2014 1:00,2:18:16,,,,,,,,,,250.9,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,42,MFV 09933,BLK:22 PLN:07 POS:10,250.90
